Animal,DOB,Exclude,Notes,Sex,Group,Trauma,TraumaBox,Box
1,6/13/23,0,,M,NT,NT,1,1
4,6/13/23,0,,M,NT,NT,4,4
6,6/13/23,0,,M,NT,NT,2,2
7,6/13/23,0,,M,NT,NT,3,3
11,6/13/23,1,"At some point between trauma and trauma recall, mouse 11/12 cages were swapped.",M,NT,NT,3,3
14,6/13/23,0,,M,NT,NT,2,2
16,6/13/23,0,,M,NT,NT,4,4
17,6/13/23,0,,M,NT,NT,1,1
21,6/13/23,0,,F,NT,NT,1,1
24,6/13/23,0,,F,NT,NT,4,4
26,6/13/23,0,,F,NT,NT,2,2
27,6/13/23,0,,F,NT,NT,3,3
31,6/13/23,0,,F,NT,NT,3,3
34,6/13/23,0,,F,NT,NT,2,2
36,6/13/23,0,,F,NT,NT,4,4
37,6/13/23,0,,F,NT,NT,1,1
2,6/13/23,0,,M,T: High,T,2,2
3,6/13/23,0,,M,T: High,T,3,3
5,6/13/23,0,,M,T: High,T,1,1
8,6/13/23,0,,M,T: High,T,4,4
9,6/13/23,0,,M,T: High,T,1,1
10,6/13/23,0,,M,T: High,T,2,2
12,6/13/23,1,"At some point between trauma and trauma recall, mouse 11/12 cages were swapped.",M,T: High,T,4,4
13,6/13/23,0,,M,T: High,T,1,1
15,6/13/23,0,,M,T: High,T,3,3
18,6/13/23,0,,M,T: High,T,2,2
19,6/13/23,0,,M,T: High,T,3,3
20,6/13/23,0,,M,T: High,T,4,4
22,6/13/23,0,,F,T: High,T,2,2
23,6/13/23,0,,F,T: High,T,3,3
25,6/13/23,0,,F,T: High,T,1,1
28,6/13/23,0,,F,T: High,T,4,4
29,6/13/23,0,,F,T: High,T,1,1
30,6/13/23,0,,F,T: High,T,2,2
32,6/13/23,0,,F,T: High,T,4,4
33,6/13/23,0,,F,T: High,T,1,1
35,6/13/23,0,,F,T: High,T,3,3
38,6/13/23,0,,F,T: High,T,2,2
39,6/13/23,0,,F,T: High,T,3,3
40,6/13/23,1,"This mouse spent 95% of time in light. Notably, this is 4 sds away from overall group mean (with this mouse included in sd. P<0.01), and 6 sds away when them and 18 from 1d are excluded.",F,T: High,T,4,4