Animal,DOB,Exclude,Notes,Sex,Group,Shock,TraumaBox,Box
1,8/1/23,0,,M,T: 2.0 mA,2,1,1
2,8/1/23,0,,M,T: High,1,2,2
3,8/1/23,0,,M,T: Low,0.25,3,3
4,8/1/23,0,,M,NT,0,4,4
5,8/1/23,0,,M,T: High,1,2,1
6,8/1/23,0,,M,T: Low,0.25,3,2
7,8/1/23,0,,M,NT,0,4,3
8,8/1/23,0,,M,T: 2.0 mA,2,1,4
9,8/1/23,0,,M,T: Low,0.25,3,1
10,8/1/23,0,,M,NT,0,4,2
11,8/1/23,0,,M,T: 2.0 mA,2,1,3
12,8/1/23,0,,M,T: High,1,2,4
13,8/1/23,0,,M,NT,0,4,1
14,8/1/23,0,,M,T: 2.0 mA,2,1,2
15,8/1/23,0,,M,T: High,1,2,3
16,8/1/23,0,,M,T: Low,0.25,3,4
17,8/1/23,0,,M,T: 2.0 mA,2,1,1
18,8/1/23,1,"This mouse spent 98% of time in light. Notably, this is 4 sds away from overall group mean (with this mouse included in sd. P<0.01), and 6 sds away when them and 40 from 1c are excluded.",M,T: High,1,2,2
19,8/1/23,0,,M,T: Low,0.25,3,3
20,8/1/23,0,,M,NT,0,4,4
21,8/1/23,0,,F,T: High,1,2,1
22,8/1/23,0,,F,T: Low,0.25,3,2
23,8/1/23,0,,F,NT,0,4,3
24,8/1/23,0,,F,T: 2.0 mA,2,1,4
25,8/1/23,0,,F,T: Low,0.25,3,1
26,8/1/23,0,,F,NT,0,4,2
27,8/1/23,0,,F,T: 2.0 mA,2,1,3
28,8/1/23,0,,F,T: High,1,2,4
29,8/1/23,0,,F,NT,0,4,1
30,8/1/23,0,,F,T: 2.0 mA,2,1,2
31,8/1/23,0,,F,T: High,1,2,3
32,8/1/23,0,,F,T: Low,0.25,3,4
33,8/1/23,0,,F,T: 2.0 mA,2,1,1
34,8/1/23,0,,F,T: High,1,2,2
35,8/1/23,0,,F,T: Low,0.25,3,3
36,8/1/23,0,,F,NT,0,4,4
37,8/1/23,0,,F,T: High,1,2,1
38,8/1/23,0,,F,T: Low,0.25,3,2
39,8/1/23,0,,F,NT,0,4,3
40,8/1/23,0,,F,T: 2.0 mA,2,1,4