Animal,Experiment,Box,phase,subphase,subsubphase,component,freezing,motion
20,201216_SEFL20_Atonetest_g5,1,A_tonetest,shock,,shock_2,100,0.02
20,201216_SEFL20_Atonetest_g5,1,A_tonetest,shock,,shock_3,0,12.08
23,201216_SEFL20_Atonetest_g1,3,A_tonetest,bl,,bl,38.84,48.19
23,201216_SEFL20_Atonetest_g1,3,A_tonetest,cs,,cs_1,88,6.88
23,201216_SEFL20_Atonetest_g1,3,A_tonetest,cs,,cs_2,77.33,32.04
23,201216_SEFL20_Atonetest_g1,3,A_tonetest,cs,,cs_3,96.67,2.35
23,201216_SEFL20_Atonetest_g1,3,A_tonetest,postcs,,postcs_1,51.74,42.97
23,201216_SEFL20_Atonetest_g1,3,A_tonetest,postcs,,postcs_2,37.1,30.23
23,201216_SEFL20_Atonetest_g1,3,A_tonetest,postcs,,postcs_3,62.57,13.17
23,201216_SEFL20_Atonetest_g1,3,A_tonetest,shock,,shock_1,100,0
23,201216_SEFL20_Atonetest_g1,3,A_tonetest,shock,,shock_2,98.33,0.6
23,201216_SEFL20_Atonetest_g1,3,A_tonetest,shock,,shock_3,100,0
24,201216_SEFL20_Atonetest_g1,4,A_tonetest,bl,,bl,19.59,73.75
24,201216_SEFL20_Atonetest_g1,4,A_tonetest,cs,,cs_1,77.22,46.79
24,201216_SEFL20_Atonetest_g1,4,A_tonetest,cs,,cs_2,71.67,59.96
24,201216_SEFL20_Atonetest_g1,4,A_tonetest,cs,,cs_3,75.33,33.78
24,201216_SEFL20_Atonetest_g1,4,A_tonetest,postcs,,postcs_1,21.76,82.36
24,201216_SEFL20_Atonetest_g1,4,A_tonetest,postcs,,postcs_2,31.02,76.61
24,201216_SEFL20_Atonetest_g1,4,A_tonetest,postcs,,postcs_3,33.68,60.3
24,201216_SEFL20_Atonetest_g1,4,A_tonetest,shock,,shock_1,100,0.03
24,201216_SEFL20_Atonetest_g1,4,A_tonetest,shock,,shock_2,0,25.22
24,201216_SEFL20_Atonetest_g1,4,A_tonetest,shock,,shock_3,58.33,14.47
25,201216_SEFL20_Atonetest_g2,1,A_tonetest,bl,,bl,36.98,74.37
25,201216_SEFL20_Atonetest_g2,1,A_tonetest,cs,,cs_1,28.33,108.25
25,201216_SEFL20_Atonetest_g2,1,A_tonetest,cs,,cs_2,61.89,50.42
25,201216_SEFL20_Atonetest_g2,1,A_tonetest,cs,,cs_3,68.56,58.44
25,201216_SEFL20_Atonetest_g2,1,A_tonetest,postcs,,postcs_1,56.42,31.56
25,201216_SEFL20_Atonetest_g2,1,A_tonetest,postcs,,postcs_2,36.46,78.79
25,201216_SEFL20_Atonetest_g2,1,A_tonetest,postcs,,postcs_3,39.14,80.42
25,201216_SEFL20_Atonetest_g2,1,A_tonetest,shock,,shock_1,0,59.22
25,201216_SEFL20_Atonetest_g2,1,A_tonetest,shock,,shock_2,100,0.3
25,201216_SEFL20_Atonetest_g2,1,A_tonetest,shock,,shock_3,55,13.02
29,201216_SEFL20_Atonetest_g2,2,A_tonetest,bl,,bl,24.44,98.4
29,201216_SEFL20_Atonetest_g2,2,A_tonetest,cs,,cs_1,62.44,88.47
29,201216_SEFL20_Atonetest_g2,2,A_tonetest,cs,,cs_2,26.78,73.77
29,201216_SEFL20_Atonetest_g2,2,A_tonetest,cs,,cs_3,89,14.87
29,201216_SEFL20_Atonetest_g2,2,A_tonetest,postcs,,postcs_1,22.14,85.63
29,201216_SEFL20_Atonetest_g2,2,A_tonetest,postcs,,postcs_2,42.2,59.93
29,201216_SEFL20_Atonetest_g2,2,A_tonetest,postcs,,postcs_3,44.49,54.34
29,201216_SEFL20_Atonetest_g2,2,A_tonetest,shock,,shock_1,100,0
29,201216_SEFL20_Atonetest_g2,2,A_tonetest,shock,,shock_2,76.67,10.08
29,201216_SEFL20_Atonetest_g2,2,A_tonetest,shock,,shock_3,100,0.05
30,201216_SEFL20_Atonetest_g2,3,A_tonetest,bl,,bl,19.88,155.08
30,201216_SEFL20_Atonetest_g2,3,A_tonetest,cs,,cs_1,59.67,45.57
30,201216_SEFL20_Atonetest_g2,3,A_tonetest,cs,,cs_2,46.89,70.45
30,201216_SEFL20_Atonetest_g2,3,A_tonetest,cs,,cs_3,81.44,10.07
30,201216_SEFL20_Atonetest_g2,3,A_tonetest,postcs,,postcs_1,39.6,53.99
30,201216_SEFL20_Atonetest_g2,3,A_tonetest,postcs,,postcs_2,42.8,50.31
30,201216_SEFL20_Atonetest_g2,3,A_tonetest,postcs,,postcs_3,41.34,63.66
30,201216_SEFL20_Atonetest_g2,3,A_tonetest,shock,,shock_1,100,0
30,201216_SEFL20_Atonetest_g2,3,A_tonetest,shock,,shock_2,58.33,38.95
30,201216_SEFL20_Atonetest_g2,3,A_tonetest,shock,,shock_3,91.67,5.18
32,201216_SEFL20_Atonetest_g2,4,A_tonetest,bl,,bl,27.97,72.83
32,201216_SEFL20_Atonetest_g2,4,A_tonetest,cs,,cs_1,42.33,72.59
32,201216_SEFL20_Atonetest_g2,4,A_tonetest,cs,,cs_2,81.22,17.9
32,201216_SEFL20_Atonetest_g2,4,A_tonetest,cs,,cs_3,78.78,12.96
32,201216_SEFL20_Atonetest_g2,4,A_tonetest,postcs,,postcs_1,18.07,100.17
32,201216_SEFL20_Atonetest_g2,4,A_tonetest,postcs,,postcs_2,34.06,56.64
32,201216_SEFL20_Atonetest_g2,4,A_tonetest,postcs,,postcs_3,25.41,96.78
32,201216_SEFL20_Atonetest_g2,4,A_tonetest,shock,,shock_1,56.67,6.25
32,201216_SEFL20_Atonetest_g2,4,A_tonetest,shock,,shock_2,63.33,5.1
32,201216_SEFL20_Atonetest_g2,4,A_tonetest,shock,,shock_3,70,14.25
33,201216_SEFL20_Atonetest_g5,2,A_tonetest,bl,,bl,17.56,101.58
33,201216_SEFL20_Atonetest_g5,2,A_tonetest,cs,,cs_1,52.56,61.76
33,201216_SEFL20_Atonetest_g5,2,A_tonetest,cs,,cs_2,75,45.41
33,201216_SEFL20_Atonetest_g5,2,A_tonetest,cs,,cs_3,63,35.61
33,201216_SEFL20_Atonetest_g5,2,A_tonetest,postcs,,postcs_1,27.07,86.07
33,201216_SEFL20_Atonetest_g5,2,A_tonetest,postcs,,postcs_2,27.66,66.76
33,201216_SEFL20_Atonetest_g5,2,A_tonetest,postcs,,postcs_3,14.27,116.92
33,201216_SEFL20_Atonetest_g5,2,A_tonetest,shock,,shock_1,71.67,21
33,201216_SEFL20_Atonetest_g5,2,A_tonetest,shock,,shock_2,100,0.03
33,201216_SEFL20_Atonetest_g5,2,A_tonetest,shock,,shock_3,0,19.77
34,201216_SEFL20_Atonetest_g5,3,A_tonetest,bl,,bl,7.39,170.6
34,201216_SEFL20_Atonetest_g5,3,A_tonetest,cs,,cs_1,56.89,29.65
34,201216_SEFL20_Atonetest_g5,3,A_tonetest,cs,,cs_2,70.67,48.85
34,201216_SEFL20_Atonetest_g5,3,A_tonetest,cs,,cs_3,75.44,9.86
34,201216_SEFL20_Atonetest_g5,3,A_tonetest,postcs,,postcs_1,8.71,207.15
34,201216_SEFL20_Atonetest_g5,3,A_tonetest,postcs,,postcs_2,7.26,169.76
34,201216_SEFL20_Atonetest_g5,3,A_tonetest,postcs,,postcs_3,17.87,79.01
34,201216_SEFL20_Atonetest_g5,3,A_tonetest,shock,,shock_1,63.33,8.88
34,201216_SEFL20_Atonetest_g5,3,A_tonetest,shock,,shock_2,55,5
34,201216_SEFL20_Atonetest_g5,3,A_tonetest,shock,,shock_3,85,3.4
36,201216_SEFL20_Atonetest_g5,4,A_tonetest,bl,,bl,10.83,154.03
36,201216_SEFL20_Atonetest_g5,4,A_tonetest,cs,,cs_1,57.67,73.14
36,201216_SEFL20_Atonetest_g5,4,A_tonetest,cs,,cs_2,63,35.9
36,201216_SEFL20_Atonetest_g5,4,A_tonetest,cs,,cs_3,57.89,56.12
36,201216_SEFL20_Atonetest_g5,4,A_tonetest,postcs,,postcs_1,24.74,94.53
36,201216_SEFL20_Atonetest_g5,4,A_tonetest,postcs,,postcs_2,14.54,137.26
36,201216_SEFL20_Atonetest_g5,4,A_tonetest,postcs,,postcs_3,14.28,88.21
36,201216_SEFL20_Atonetest_g5,4,A_tonetest,shock,,shock_1,85,7.38
36,201216_SEFL20_Atonetest_g5,4,A_tonetest,shock,,shock_2,0,26.15
36,201216_SEFL20_Atonetest_g5,4,A_tonetest,shock,,shock_3,0,108.87
78,201216_SEFL20_Atonetest_g3,1,A_tonetest,bl,,bl,4.31,143.53
78,201216_SEFL20_Atonetest_g3,1,A_tonetest,cs,,cs_1,74.78,14.18
78,201216_SEFL20_Atonetest_g3,1,A_tonetest,cs,,cs_2,76.22,16.2
78,201216_SEFL20_Atonetest_g3,1,A_tonetest,cs,,cs_3,62.56,36.52
78,201216_SEFL20_Atonetest_g3,1,A_tonetest,postcs,,postcs_1,14,111.21
78,201216_SEFL20_Atonetest_g3,1,A_tonetest,postcs,,postcs_2,27.92,93.83
78,201216_SEFL20_Atonetest_g3,1,A_tonetest,postcs,,postcs_3,34.27,81.19
78,201216_SEFL20_Atonetest_g3,1,A_tonetest,shock,,shock_1,0,22.52
78,201216_SEFL20_Atonetest_g3,1,A_tonetest,shock,,shock_2,0,9.23
78,201216_SEFL20_Atonetest_g3,1,A_tonetest,shock,,shock_3,51.67,6.77
79,201216_SEFL20_Atonetest_g3,2,A_tonetest,bl,,bl,17.68,98.11
79,201216_SEFL20_Atonetest_g3,2,A_tonetest,cs,,cs_1,81.44,9.99
79,201216_SEFL20_Atonetest_g3,2,A_tonetest,cs,,cs_2,93.11,6.87
79,201216_SEFL20_Atonetest_g3,2,A_tonetest,cs,,cs_3,87.33,3.69
79,201216_SEFL20_Atonetest_g3,2,A_tonetest,postcs,,postcs_1,35.32,56.54
79,201216_SEFL20_Atonetest_g3,2,A_tonetest,postcs,,postcs_2,43.04,48.82
79,201216_SEFL20_Atonetest_g3,2,A_tonetest,postcs,,postcs_3,51.32,17.3
79,201216_SEFL20_Atonetest_g3,2,A_tonetest,shock,,shock_1,100,0
79,201216_SEFL20_Atonetest_g3,2,A_tonetest,shock,,shock_2,91.67,8.65
79,201216_SEFL20_Atonetest_g3,2,A_tonetest,shock,,shock_3,60,3.87
4,201217_SEFL20_trauma_g1,1,trauma,baseline,,baseline,44.05,50.26
4,201217_SEFL20_trauma_g1,1,trauma,shock,,shock01,0,44.67
4,201217_SEFL20_trauma_g1,1,trauma,shock,,shock02,100,0
4,201217_SEFL20_trauma_g1,1,trauma,shock,,shock03,0,161.1
4,201217_SEFL20_trauma_g1,1,trauma,shock,,shock04,0,23.37
4,201217_SEFL20_trauma_g1,1,trauma,shock,,shock05,0,109.23
4,201217_SEFL20_trauma_g1,1,trauma,shock,,shock06,0,421.73
4,201217_SEFL20_trauma_g1,1,trauma,shock,,shock07,0,13.9
4,201217_SEFL20_trauma_g1,1,trauma,shock,,shock08,0,9.5
4,201217_SEFL20_trauma_g1,1,trauma,shock,,shock09,0,499.27
4,201217_SEFL20_trauma_g1,1,trauma,shock,,shock10,0,36.97
4,201217_SEFL20_trauma_g1,1,trauma,postshock,,postshock01,23.78,74.6
4,201217_SEFL20_trauma_g1,1,trauma,postshock,,postshock02,13.22,79.05
4,201217_SEFL20_trauma_g1,1,trauma,postshock,,postshock03,27.67,64.4
4,201217_SEFL20_trauma_g1,1,trauma,postshock,,postshock04,0,105.92
4,201217_SEFL20_trauma_g1,1,trauma,postshock,,postshock05,31,70.44
4,201217_SEFL20_trauma_g1,1,trauma,postshock,,postshock06,11.33,115.1
4,201217_SEFL20_trauma_g1,1,trauma,postshock,,postshock07,19.33,58.32
4,201217_SEFL20_trauma_g1,1,trauma,postshock,,postshock08,21.89,76.37
4,201217_SEFL20_trauma_g1,1,trauma,postshock,,postshock09,6.11,146.2
4,201217_SEFL20_trauma_g1,1,trauma,postshock,,postshock10,25,38.49
5,201217_SEFL20_trauma_g1,2,trauma,baseline,,baseline,21.97,99.43
5,201217_SEFL20_trauma_g1,2,trauma,shock,,shock01,0,673.63
5,201217_SEFL20_trauma_g1,2,trauma,shock,,shock02,0,667.7
5,201217_SEFL20_trauma_g1,2,trauma,shock,,shock03,0,722.17
5,201217_SEFL20_trauma_g1,2,trauma,shock,,shock04,0,890.9
5,201217_SEFL20_trauma_g1,2,trauma,shock,,shock05,0,644.3
5,201217_SEFL20_trauma_g1,2,trauma,shock,,shock06,0,419.23
5,201217_SEFL20_trauma_g1,2,trauma,shock,,shock07,0,306.93
5,201217_SEFL20_trauma_g1,2,trauma,shock,,shock08,0,191.2
5,201217_SEFL20_trauma_g1,2,trauma,shock,,shock09,0,645.27
5,201217_SEFL20_trauma_g1,2,trauma,shock,,shock10,0,571.6
5,201217_SEFL20_trauma_g1,2,trauma,postshock,,postshock01,23.44,51.51
5,201217_SEFL20_trauma_g1,2,trauma,postshock,,postshock02,47,20.54
5,201217_SEFL20_trauma_g1,2,trauma,postshock,,postshock03,9,44.26
5,201217_SEFL20_trauma_g1,2,trauma,postshock,,postshock04,52.44,52.5
5,201217_SEFL20_trauma_g1,2,trauma,postshock,,postshock05,0,96.3
5,201217_SEFL20_trauma_g1,2,trauma,postshock,,postshock06,8.11,54.8
5,201217_SEFL20_trauma_g1,2,trauma,postshock,,postshock07,8.89,46.14
5,201217_SEFL20_trauma_g1,2,trauma,postshock,,postshock08,40.11,28.17
5,201217_SEFL20_trauma_g1,2,trauma,postshock,,postshock09,21,103.63
5,201217_SEFL20_trauma_g1,2,trauma,postshock,,postshock10,28.56,22.72
6,201217_SEFL20_trauma_g3,3,trauma,baseline,,baseline,2.97,180.32
6,201217_SEFL20_trauma_g3,3,trauma,shock,,shock01,0,167.6
6,201217_SEFL20_trauma_g3,3,trauma,shock,,shock02,0,76.6
6,201217_SEFL20_trauma_g3,3,trauma,shock,,shock03,0,19.83
6,201217_SEFL20_trauma_g3,3,trauma,shock,,shock04,0,97.97
6,201217_SEFL20_trauma_g3,3,trauma,shock,,shock05,0,203.1
6,201217_SEFL20_trauma_g3,3,trauma,shock,,shock06,0,364.4
6,201217_SEFL20_trauma_g3,3,trauma,shock,,shock07,0,140.53
6,201217_SEFL20_trauma_g3,3,trauma,shock,,shock08,0,113.87
6,201217_SEFL20_trauma_g3,3,trauma,shock,,shock09,100,0.17
6,201217_SEFL20_trauma_g3,3,trauma,shock,,shock10,0,83.57
6,201217_SEFL20_trauma_g3,3,trauma,postshock,,postshock01,28,111.93
6,201217_SEFL20_trauma_g3,3,trauma,postshock,,postshock02,6.11,59.68
6,201217_SEFL20_trauma_g3,3,trauma,postshock,,postshock03,4.33,153.58
6,201217_SEFL20_trauma_g3,3,trauma,postshock,,postshock04,5,167.07
6,201217_SEFL20_trauma_g3,3,trauma,postshock,,postshock05,18.89,149.92
6,201217_SEFL20_trauma_g3,3,trauma,postshock,,postshock06,3.78,177.65
6,201217_SEFL20_trauma_g3,3,trauma,postshock,,postshock07,24.56,54.83
6,201217_SEFL20_trauma_g3,3,trauma,postshock,,postshock08,36.11,33.51
6,201217_SEFL20_trauma_g3,3,trauma,postshock,,postshock09,28.33,77.29
6,201217_SEFL20_trauma_g3,3,trauma,postshock,,postshock10,45.44,38.94
8,201217_SEFL20_trauma_g3,4,trauma,baseline,,baseline,1.6,218.89
8,201217_SEFL20_trauma_g3,4,trauma,shock,,shock01,0,684.47
8,201217_SEFL20_trauma_g3,4,trauma,shock,,shock02,0,1120.87
8,201217_SEFL20_trauma_g3,4,trauma,shock,,shock03,0,1536.63
8,201217_SEFL20_trauma_g3,4,trauma,shock,,shock04,0,713.47
8,201217_SEFL20_trauma_g3,4,trauma,shock,,shock05,0,1377.23
8,201217_SEFL20_trauma_g3,4,trauma,shock,,shock06,0,998.23
8,201217_SEFL20_trauma_g3,4,trauma,shock,,shock07,0,1507.4
8,201217_SEFL20_trauma_g3,4,trauma,shock,,shock08,0,1066.4
8,201217_SEFL20_trauma_g3,4,trauma,shock,,shock09,0,934.67
8,201217_SEFL20_trauma_g3,4,trauma,shock,,shock10,0,835.93
8,201217_SEFL20_trauma_g3,4,trauma,postshock,,postshock01,0,138.35
8,201217_SEFL20_trauma_g3,4,trauma,postshock,,postshock02,9.78,94.1
8,201217_SEFL20_trauma_g3,4,trauma,postshock,,postshock03,23.22,79.46
8,201217_SEFL20_trauma_g3,4,trauma,postshock,,postshock04,0,230.17
8,201217_SEFL20_trauma_g3,4,trauma,postshock,,postshock05,40.44,51.48
8,201217_SEFL20_trauma_g3,4,trauma,postshock,,postshock06,13.22,117.78
8,201217_SEFL20_trauma_g3,4,trauma,postshock,,postshock07,11,82.93
8,201217_SEFL20_trauma_g3,4,trauma,postshock,,postshock08,25.89,95.3
8,201217_SEFL20_trauma_g3,4,trauma,postshock,,postshock09,50,20.4
8,201217_SEFL20_trauma_g3,4,trauma,postshock,,postshock10,0,136.53
14,201217_SEFL20_trauma_g4,1,trauma,baseline,,baseline,23.36,87.18
14,201217_SEFL20_trauma_g4,1,trauma,shock,,shock01,0,58.1
14,201217_SEFL20_trauma_g4,1,trauma,shock,,shock02,0,113.33
14,201217_SEFL20_trauma_g4,1,trauma,shock,,shock03,0,176.97
14,201217_SEFL20_trauma_g4,1,trauma,shock,,shock04,0,122.4
14,201217_SEFL20_trauma_g4,1,trauma,shock,,shock05,100,0
14,201217_SEFL20_trauma_g4,1,trauma,shock,,shock06,0,93.1
14,201217_SEFL20_trauma_g4,1,trauma,shock,,shock07,0,47.9
14,201217_SEFL20_trauma_g4,1,trauma,shock,,shock08,0,15.2
14,201217_SEFL20_trauma_g4,1,trauma,shock,,shock09,0,93.07
14,201217_SEFL20_trauma_g4,1,trauma,shock,,shock10,0,313.63
14,201217_SEFL20_trauma_g4,1,trauma,postshock,,postshock01,24.67,48.29
14,201217_SEFL20_trauma_g4,1,trauma,postshock,,postshock02,18.78,77.35
14,201217_SEFL20_trauma_g4,1,trauma,postshock,,postshock03,26.44,42.42
14,201217_SEFL20_trauma_g4,1,trauma,postshock,,postshock04,13.67,87.65
14,201217_SEFL20_trauma_g4,1,trauma,postshock,,postshock05,8,63.59
14,201217_SEFL20_trauma_g4,1,trauma,postshock,,postshock06,10.89,65.63
14,201217_SEFL20_trauma_g4,1,trauma,postshock,,postshock07,30.56,116.32
14,201217_SEFL20_trauma_g4,1,trauma,postshock,,postshock08,12.33,21.25
14,201217_SEFL20_trauma_g4,1,trauma,postshock,,postshock09,9.33,133.8
14,201217_SEFL20_trauma_g4,1,trauma,postshock,,postshock10,0,187.48
15,201217_SEFL20_trauma_g4,2,trauma,baseline,,baseline,2.56,188.1
15,201217_SEFL20_trauma_g4,2,trauma,shock,,shock01,0,992.5
15,201217_SEFL20_trauma_g4,2,trauma,shock,,shock02,0,543.63
15,201217_SEFL20_trauma_g4,2,trauma,shock,,shock03,0,737
15,201217_SEFL20_trauma_g4,2,trauma,shock,,shock04,0,937.67
15,201217_SEFL20_trauma_g4,2,trauma,shock,,shock05,0,914.57
15,201217_SEFL20_trauma_g4,2,trauma,shock,,shock06,0,756.17
15,201217_SEFL20_trauma_g4,2,trauma,shock,,shock07,0,592.43
15,201217_SEFL20_trauma_g4,2,trauma,shock,,shock08,0,1011.2
15,201217_SEFL20_trauma_g4,2,trauma,shock,,shock09,0,957.2
15,201217_SEFL20_trauma_g4,2,trauma,shock,,shock10,0,492.27
15,201217_SEFL20_trauma_g4,2,trauma,postshock,,postshock01,0,250.86
15,201217_SEFL20_trauma_g4,2,trauma,postshock,,postshock02,0,162.39
15,201217_SEFL20_trauma_g4,2,trauma,postshock,,postshock03,0,260.73
15,201217_SEFL20_trauma_g4,2,trauma,postshock,,postshock04,9,108.98
15,201217_SEFL20_trauma_g4,2,trauma,postshock,,postshock05,13.89,65.09
15,201217_SEFL20_trauma_g4,2,trauma,postshock,,postshock06,0,148.28
15,201217_SEFL20_trauma_g4,2,trauma,postshock,,postshock07,4.22,122.3
15,201217_SEFL20_trauma_g4,2,trauma,postshock,,postshock08,54.22,28.46
15,201217_SEFL20_trauma_g4,2,trauma,postshock,,postshock09,77.89,6.26
15,201217_SEFL20_trauma_g4,2,trauma,postshock,,postshock10,23,57.1
18,201217_SEFL20_trauma_g4,3,trauma,baseline,,baseline,3.42,173.84
18,201217_SEFL20_trauma_g4,3,trauma,shock,,shock01,0,1409.2
18,201217_SEFL20_trauma_g4,3,trauma,shock,,shock02,0,1347.7
18,201217_SEFL20_trauma_g4,3,trauma,shock,,shock03,0,1638.17
18,201217_SEFL20_trauma_g4,3,trauma,shock,,shock04,0,1269.37
18,201217_SEFL20_trauma_g4,3,trauma,shock,,shock05,0,1022.9
18,201217_SEFL20_trauma_g4,3,trauma,shock,,shock06,0,1539.23
18,201217_SEFL20_trauma_g4,3,trauma,shock,,shock07,0,2721.17
18,201217_SEFL20_trauma_g4,3,trauma,shock,,shock08,0,974.7
18,201217_SEFL20_trauma_g4,3,trauma,shock,,shock09,0,1187.03
18,201217_SEFL20_trauma_g4,3,trauma,shock,,shock10,0,1143.33
18,201217_SEFL20_trauma_g4,3,trauma,postshock,,postshock01,10.33,142.38
18,201217_SEFL20_trauma_g4,3,trauma,postshock,,postshock02,28.22,28.86
18,201217_SEFL20_trauma_g4,3,trauma,postshock,,postshock03,12.56,89.84
18,201217_SEFL20_trauma_g4,3,trauma,postshock,,postshock04,32,31.83
18,201217_SEFL20_trauma_g4,3,trauma,postshock,,postshock05,25.56,85.65
18,201217_SEFL20_trauma_g4,3,trauma,postshock,,postshock06,24.44,31.03
18,201217_SEFL20_trauma_g4,3,trauma,postshock,,postshock07,32.78,39.76
18,201217_SEFL20_trauma_g4,3,trauma,postshock,,postshock08,67.11,8.27
18,201217_SEFL20_trauma_g4,3,trauma,postshock,,postshock09,41.56,17.13
18,201217_SEFL20_trauma_g4,3,trauma,postshock,,postshock10,52,11.91
19,201217_SEFL20_trauma_g4,4,trauma,baseline,,baseline,8.03,150.85
19,201217_SEFL20_trauma_g4,4,trauma,shock,,shock01,0,234.67
19,201217_SEFL20_trauma_g4,4,trauma,shock,,shock02,0,76.43
19,201217_SEFL20_trauma_g4,4,trauma,shock,,shock03,0,37.8
19,201217_SEFL20_trauma_g4,4,trauma,shock,,shock04,0,381.03
19,201217_SEFL20_trauma_g4,4,trauma,shock,,shock05,0,432.1
19,201217_SEFL20_trauma_g4,4,trauma,shock,,shock06,0,56.43
19,201217_SEFL20_trauma_g4,4,trauma,shock,,shock07,0,75.57
19,201217_SEFL20_trauma_g4,4,trauma,shock,,shock08,0,261.67
19,201217_SEFL20_trauma_g4,4,trauma,shock,,shock09,0,132.6
19,201217_SEFL20_trauma_g4,4,trauma,shock,,shock10,0,79.43
19,201217_SEFL20_trauma_g4,4,trauma,postshock,,postshock01,12.33,145.71
19,201217_SEFL20_trauma_g4,4,trauma,postshock,,postshock02,10.78,188.98
19,201217_SEFL20_trauma_g4,4,trauma,postshock,,postshock03,16.78,133.13
19,201217_SEFL20_trauma_g4,4,trauma,postshock,,postshock04,14.78,107.37
19,201217_SEFL20_trauma_g4,4,trauma,postshock,,postshock05,4.44,196.32
19,201217_SEFL20_trauma_g4,4,trauma,postshock,,postshock06,4,146.21
19,201217_SEFL20_trauma_g4,4,trauma,postshock,,postshock07,4,126.45
19,201217_SEFL20_trauma_g4,4,trauma,postshock,,postshock08,5.78,178.5
19,201217_SEFL20_trauma_g4,4,trauma,postshock,,postshock09,11.22,190.89
19,201217_SEFL20_trauma_g4,4,trauma,postshock,,postshock10,39.44,56.55
20,201217_SEFL20_trauma_g5,1,trauma,baseline,,baseline,18.35,109.26
20,201217_SEFL20_trauma_g5,1,trauma,shock,,shock01,0,2213.87
20,201217_SEFL20_trauma_g5,1,trauma,shock,,shock02,0,1008.77
20,201217_SEFL20_trauma_g5,1,trauma,shock,,shock03,0,1513
20,201217_SEFL20_trauma_g5,1,trauma,shock,,shock04,0,1899.6
20,201217_SEFL20_trauma_g5,1,trauma,shock,,shock05,0,850.23
20,201217_SEFL20_trauma_g5,1,trauma,shock,,shock06,0,1023.43
20,201217_SEFL20_trauma_g5,1,trauma,shock,,shock07,0,502.63
20,201217_SEFL20_trauma_g5,1,trauma,shock,,shock08,0,1569.53
20,201217_SEFL20_trauma_g5,1,trauma,shock,,shock09,0,732.53
20,201217_SEFL20_trauma_g5,1,trauma,shock,,shock10,0,677.97
20,201217_SEFL20_trauma_g5,1,trauma,postshock,,postshock01,20.44,87.18
20,201217_SEFL20_trauma_g5,1,trauma,postshock,,postshock02,19.22,82.04
20,201217_SEFL20_trauma_g5,1,trauma,postshock,,postshock03,23.11,81.41
20,201217_SEFL20_trauma_g5,1,trauma,postshock,,postshock04,11.11,127.97
20,201217_SEFL20_trauma_g5,1,trauma,postshock,,postshock05,32.22,39.87
20,201217_SEFL20_trauma_g5,1,trauma,postshock,,postshock06,36.89,34.49
20,201217_SEFL20_trauma_g5,1,trauma,postshock,,postshock07,13.11,112.21
20,201217_SEFL20_trauma_g5,1,trauma,postshock,,postshock08,37.78,47.15
